,CH1
Second,Volt
-3.00800e-04,-3.44e-01, 
-2.99800e-04,-3.28e-01, 
-2.98800e-04,-3.28e-01, 
-2.97800e-04,-2.96e-01, 
-2.96800e-04,-3.12e-01, 
-2.95800e-04,-2.88e-01, 
-2.94800e-04,-2.80e-01, 
-2.93800e-04,-2.48e-01, 
-2.92800e-04,-2.56e-01, 
-2.91800e-04,-3.04e-01, 
-2.90800e-04,-2.88e-01, 
-2.89800e-04,-3.20e-01, 
-2.88800e-04,-3.04e-01, 
-2.87800e-04,-2.72e-01, 
-2.86800e-04,-2.88e-01, 
-2.85800e-04,-2.48e-01, 
-2.84800e-04,-2.64e-01, 
-2.83800e-04,-2.24e-01, 
-2.82800e-04,-2.16e-01, 
-2.81800e-04,-2.64e-01, 
-2.80800e-04,-2.32e-01, 
-2.79800e-04,-2.56e-01, 
-2.78800e-04,-2.40e-01, 
-2.77800e-04,-2.00e-01, 
-2.76800e-04,-2.24e-01, 
-2.75800e-04,-1.92e-01, 
-2.74800e-04,-2.16e-01, 
-2.73800e-04,-1.76e-01, 
-2.72800e-04,-1.92e-01, 
-2.71800e-04,-1.52e-01, 
-2.70800e-04,-1.52e-01, 
-2.69800e-04,-1.28e-01, 
-2.68800e-04,-1.20e-01, 
-2.67800e-04,-1.52e-01, 
-2.66800e-04,-1.36e-01, 
-2.65800e-04,-1.12e-01, 
-2.64800e-04,-1.44e-01, 
-2.63800e-04,-1.12e-01, 
-2.62800e-04,-1.12e-01, 
-2.61800e-04,-6.40e-02, 
-2.60800e-04,-6.40e-02, 
-2.59800e-04,-2.40e-02, 
-2.58800e-04,-1.60e-02, 
-2.57800e-04,-4.80e-02, 
-2.56800e-04,-4.80e-02, 
-2.55800e-04,-1.60e-02, 
-2.54800e-04,-5.60e-02, 
-2.53800e-04,-1.60e-02, 
-2.52800e-04,-3.20e-02, 
-2.51800e-04,4.00e-02, 
-2.50800e-04,4.00e-02, 
-2.49800e-04,8.00e-02, 
-2.48800e-04,5.60e-02, 
-2.47800e-04,7.20e-02, 
-2.46800e-04,7.20e-02, 
-2.45800e-04,4.80e-02, 
-2.44800e-04,5.60e-02, 
-2.43800e-04,2.40e-02, 
-2.42800e-04,6.40e-02, 
-2.41800e-04,1.36e-01, 
-2.40800e-04,1.36e-01, 
-2.39800e-04,1.76e-01, 
-2.38800e-04,1.76e-01, 
-2.37800e-04,1.36e-01, 
-2.36800e-04,1.60e-01, 
-2.35800e-04,1.28e-01, 
-2.34800e-04,1.12e-01, 
-2.33800e-04,1.36e-01, 
-2.32800e-04,1.36e-01, 
-2.31800e-04,2.24e-01, 
-2.30800e-04,2.08e-01, 
-2.29800e-04,2.72e-01, 
-2.28800e-04,2.56e-01, 
-2.27800e-04,2.24e-01, 
-2.26800e-04,2.40e-01, 
-2.25800e-04,2.00e-01, 
-2.24800e-04,2.00e-01, 
-2.23800e-04,1.68e-01, 
-2.22800e-04,2.00e-01, 
-2.21800e-04,2.80e-01, 
-2.20800e-04,2.72e-01, 
-2.19800e-04,3.28e-01, 
-2.18800e-04,3.20e-01, 
-2.17800e-04,2.80e-01, 
-2.16800e-04,2.88e-01, 
-2.15800e-04,2.48e-01, 
-2.14800e-04,2.64e-01, 
-2.13800e-04,2.24e-01, 
-2.12800e-04,2.40e-01, 
-2.11800e-04,3.12e-01, 
-2.10800e-04,3.12e-01, 
-2.09800e-04,3.68e-01, 
-2.08800e-04,3.44e-01, 
-2.07800e-04,2.96e-01, 
-2.06800e-04,3.12e-01, 
-2.05800e-04,2.80e-01, 
-2.04800e-04,2.80e-01, 
-2.03800e-04,2.48e-01, 
-2.02800e-04,2.64e-01, 
-2.01800e-04,3.36e-01, 
-2.00800e-04,3.12e-01, 
-1.99800e-04,3.52e-01, 
-1.98800e-04,3.36e-01, 
-1.97800e-04,3.04e-01, 
-1.96800e-04,3.12e-01, 
-1.95800e-04,2.80e-01, 
-1.94800e-04,2.88e-01, 
-1.93800e-04,2.56e-01, 
-1.92800e-04,2.64e-01, 
-1.91800e-04,3.04e-01, 
-1.90800e-04,2.96e-01, 
-1.89800e-04,3.20e-01, 
-1.88800e-04,3.12e-01, 
-1.87800e-04,2.80e-01, 
-1.86800e-04,2.80e-01, 
-1.85800e-04,2.48e-01, 
-1.84800e-04,2.56e-01, 
-1.83800e-04,2.24e-01, 
-1.82800e-04,2.56e-01, 
-1.81800e-04,2.24e-01, 
-1.80800e-04,2.56e-01, 
-1.79800e-04,2.40e-01, 
-1.78800e-04,2.48e-01, 
-1.77800e-04,2.16e-01, 
-1.76800e-04,2.24e-01, 
-1.75800e-04,2.00e-01, 
-1.74800e-04,1.92e-01, 
-1.73800e-04,2.08e-01, 
-1.72800e-04,2.00e-01, 
-1.71800e-04,1.60e-01, 
-1.70800e-04,1.76e-01, 
-1.69800e-04,1.52e-01, 
-1.68800e-04,1.68e-01, 
-1.67800e-04,1.36e-01, 
-1.66800e-04,1.44e-01, 
-1.65800e-04,1.28e-01, 
-1.64800e-04,1.20e-01, 
-1.63800e-04,1.44e-01, 
-1.62800e-04,1.20e-01, 
-1.61800e-04,8.00e-02, 
-1.60800e-04,4.80e-02, 
-1.59800e-04,7.20e-02, 
-1.58800e-04,6.40e-02, 
-1.57800e-04,2.40e-02, 
-1.56800e-04,5.60e-02, 
-1.55800e-04,2.40e-02, 
-1.54800e-04,6.40e-02, 
-1.53800e-04,3.20e-02, 
-1.52800e-04,4.00e-02, 
-1.51800e-04,-3.20e-02, 
-1.50800e-04,-4.00e-02, 
